Wall time,Step,Value
1587132615.2367945,0,2.386542797088623
1587133459.0158267,1,1.4530800580978394
1587134299.911634,2,1.2097057104110718
1587135138.183822,3,1.099102258682251
1587135976.7703145,4,1.0208308696746826
1587136816.4034438,5,0.966680109500885
1587137654.2106943,6,0.9285085797309875
1587138492.5274115,7,0.8885372281074524
1587139330.8936946,8,0.8570512533187866
1587140168.4791534,9,0.8235704898834229
1587141007.8726048,10,0.8013643026351929
1587141847.6621425,11,0.7767146229743958
1587142684.8871145,12,0.7463620901107788
1587143522.4672937,13,0.7321796417236328
1587144360.8772767,14,0.7085968852043152
1587145198.3714604,15,0.6870590448379517
1587146035.3785899,16,0.6554713249206543
1587146873.8703074,17,0.6464509963989258
1587147712.3111382,18,0.6176416277885437
1587148550.1028094,19,0.6055766344070435
1587149388.0688622,20,0.5872459411621094
1587150226.4554484,21,0.5655173659324646
1587151063.3702736,22,0.5481573939323425
1587151900.9576905,23,0.5335040092468262
1587152737.5734534,24,0.5128490924835205
1587153576.3430986,25,0.49798768758773804
1587154412.970763,26,0.4820415675640106
1587155251.8246775,27,0.4597441256046295
1587156088.753415,28,0.4474223554134369
1587156925.1683898,29,0.43840643763542175
1587157762.4832215,30,0.42238500714302063
1587158600.3126264,31,0.4069117307662964
1587159440.2943318,32,0.39133960008621216
1587160275.9220974,33,0.3851155936717987
1587161114.7405465,34,0.3692282438278198
1587161951.2045472,35,0.3546050190925598
1587162787.751661,36,0.3501535654067993
1587163626.6484678,37,0.3376837968826294
1587164464.4047217,38,0.33183786273002625
1587165302.104683,39,0.31912973523139954
1587166137.6715288,40,0.3129011392593384
1587166974.561389,41,0.30215752124786377
1587167811.7104988,42,0.2963089942932129
1587168650.2551894,43,0.28956663608551025
1587169487.3561075,44,0.2818088233470917
1587170324.5496917,45,0.274262011051178
1587171160.839478,46,0.27203285694122314
1587171999.2835832,47,0.2625645399093628
1587172835.810229,48,0.2563048005104065
1587173673.055257,49,0.2523036301136017
1587174509.5858617,50,0.23958343267440796
1587175347.7844028,51,0.23586280643939972
1587176186.5775688,52,0.2314385026693344
1587177024.7645729,53,0.2230350375175476
1587177861.9322171,54,0.22606725990772247
1587178701.015335,55,0.21639347076416016
1587179539.606161,56,0.2120027095079422
1587180378.9521775,57,0.2081683725118637
1587181217.0734386,58,0.202854186296463
1587182055.4049888,59,0.20203116536140442
1587182895.350178,60,0.19918192923069
1587183733.522068,61,0.19039370119571686
1587184572.7628834,62,0.1892102211713791
1587185410.9462776,63,0.18522484600543976
1587186251.2721114,64,0.18270370364189148
1587187089.6331868,65,0.17887814342975616
1587187928.8122687,66,0.17679163813591003
1587188767.323329,67,0.17504914104938507
1587189607.0736697,68,0.16910818219184875
1587190447.4833505,69,0.1660100221633911
1587191285.1145236,70,0.1668737679719925
1587192125.4335186,71,0.16106712818145752
1587192964.4178402,72,0.15833373367786407
1587193802.8510382,73,0.15533505380153656
1587194643.776423,74,0.152901291847229
1587195485.2517762,75,0.1474059373140335
1587196323.8869438,76,0.1483565866947174
1587197164.5895383,77,0.14514042437076569
1587198002.5621345,78,0.14364837110042572
1587198842.285416,79,0.14105969667434692
1587199680.84388,80,0.13967828452587128
1587200518.4689023,81,0.13856641948223114
1587201358.348454,82,0.13599173724651337
1587202197.1036026,83,0.13244923949241638
1587203035.624418,84,0.13346406817436218
1587203874.5632987,85,0.13331270217895508
1587204728.2921648,86,0.07167062163352966
1587205567.4623127,87,0.056924451142549515
1587206404.326045,88,0.04902813211083412
1587207243.3396165,89,0.04371337592601776
1587208082.2654216,90,0.04045499116182327
1587208919.8488457,91,0.0370388962328434
1587209761.5813258,92,0.034601278603076935
1587210619.6487281,93,0.03269460052251816
1587211474.5995867,94,0.03127187862992287
1587212332.3385606,95,0.02891654521226883
1587213188.5565357,96,0.027731720358133316
1587214045.8437507,97,0.026567790657281876
1587214905.0227175,98,0.025426354259252548
1587215761.9219952,99,0.02425514906644821
