Wall time,Step,Value
1587027528.9078178,0,2.1778438091278076
1587028345.119247,1,1.3083900213241577
1587029154.416295,2,1.1105647087097168
1587029965.8040223,3,1.005818247795105
1587030775.7286224,4,0.9413873553276062
1587031583.7512631,5,0.8938639163970947
1587032392.386534,6,0.8550576567649841
1587033199.4582279,7,0.8227881193161011
1587034006.8206506,8,0.7947904467582703
1587034813.0144265,9,0.7608553171157837
1587035618.7877798,10,0.7514550685882568
1587036424.1316347,11,0.722491443157196
1587037228.275789,12,0.7017528414726257
1587038032.676926,13,0.6765835881233215
1587038838.4867654,14,0.6640192866325378
1587039643.937908,15,0.6406500339508057
1587040452.9108472,16,0.6164352893829346
1587041260.2899175,17,0.6046168208122253
1587042068.4063237,18,0.5816024541854858
1587042876.280073,19,0.5723729133605957
1587043683.842726,20,0.5540450215339661
1587044493.2388482,21,0.5303655862808228
1587045301.0477157,22,0.511462390422821
1587046110.197049,23,0.500901460647583
1587046920.8093274,24,0.48092636466026306
1587047757.9756646,25,0.4684613049030304
1587048575.5898404,26,0.45234590768814087
1587049394.111909,27,0.44049882888793945
1587050210.6070924,28,0.42596325278282166
1587051029.314154,29,0.41693228483200073
1587051845.5012367,30,0.4037950932979584
1587052661.4822142,31,0.3902967572212219
1587053478.466885,32,0.3781026005744934
1587054293.7822342,33,0.3663966953754425
1587055108.694492,34,0.35680267214775085
1587055922.9208102,35,0.34570151567459106
1587056738.4300108,36,0.34057554602622986
1587057553.7970083,37,0.32601800560951233
1587058366.1254172,38,0.3172321319580078
1587059180.9668505,39,0.31076639890670776
1587059994.9706953,40,0.2995778024196625
1587060811.057754,41,0.2930004298686981
1587061625.3168395,42,0.2853531241416931
1587062441.1422725,43,0.2757011950016022
1587063257.1054642,44,0.27135199308395386
1587064072.4387827,45,0.26553159952163696
1587064886.9167018,46,0.2604510486125946
1587065705.4291224,47,0.2565614879131317
1587066519.6347003,48,0.2472066432237625
1587067336.1026518,49,0.24326802790164948
1587068150.3828938,50,0.2370487004518509
1587068965.9142942,51,0.23374323546886444
1587069781.109904,52,0.22627755999565125
1587070596.0931456,53,0.21597951650619507
1587071411.263727,54,0.21523799002170563
1587072225.765732,55,0.21013788878917694
1587073041.1909597,56,0.2086145430803299
1587073856.076073,57,0.203119158744812
1587074670.664682,58,0.19989585876464844
1587075486.9602768,59,0.1961808055639267
1587076301.7725232,60,0.19435521960258484
1587077116.8883924,61,0.18673425912857056
1587077932.0396743,62,0.18546301126480103
1587078747.370604,63,0.18391509354114532
1587079560.9203358,64,0.1791587918996811
1587080376.8958368,65,0.17639952898025513
1587081192.28868,66,0.17220106720924377
1587082005.749418,67,0.16941677033901215
1587082820.3907163,68,0.16720812022686005
1587083636.7712066,69,0.16145989298820496
1587084450.9589672,70,0.16162028908729553
1587085266.672394,71,0.15879522264003754
1587086083.9205995,72,0.15381215512752533
1587086899.586045,73,0.15257209539413452
1587087716.7538478,74,0.14918984472751617
1587088533.7288022,75,0.15161490440368652
1587089352.0626743,76,0.1472248136997223
1587090171.08838,77,0.14454352855682373
1587090989.5947022,78,0.14634837210178375
1587091809.0185761,79,0.13997110724449158
1587092629.497395,80,0.13984014093875885
1587093449.8390129,81,0.13693849742412567
1587094271.1063392,82,0.1382916271686554
1587095091.4061399,83,0.13361221551895142
1587095914.668415,84,0.1304885447025299
1587096736.879697,85,0.13187888264656067
1587097559.1176865,86,0.12776313722133636
1587098381.0220256,87,0.12655948102474213
1587099202.9396803,88,0.1256980150938034
1587100026.6318681,89,0.12124735116958618
1587100848.632009,90,0.12218400090932846
1587101672.0100534,91,0.1200978234410286
1587102496.6550963,92,0.11869321018457413
1587103316.940343,93,0.11706265807151794
1587104142.0146894,94,0.11378305405378342
1587104963.9058764,95,0.11276029050350189
1587105787.3177137,96,0.11146915704011917
1587106610.8017228,97,0.11191944032907486
1587107436.7107968,98,0.11053167283535004
1587108258.8234713,99,0.1085868626832962
